tns_name,previous_name,repeater_name,event_id,sub_num,ra,ra_err,dec,dec_err,ra_dec_notes,gl,gb,exp_up,exp_up_err,exp_low,exp_low_err,exp_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,fluence,fluence_err,fluence_notes,fluence_win_extended,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,notes_fitb,intrachan_flag,excluded_flag,sidelobe_flag,citizen_science_flag,catalog1_flag,catalog1_param_flag,z,z_type,z_mean,z_error
FRB20230425B,,,285596509.0,0.0,135.4008966267499,0.1877274414215316,32.801952422694484,0.1248412497426052,,191.65256767729625,40.49797250556528,76.96363936040105,48.03704501884897,0.0,0.0,,38.0579872131,1094.6411132812,,1.3823326148121875,,2.365041510284169,49.76300635993814,1095.5205971702344,0.012376496815129,1050.735638137634,1058.316203633095,0.0049151999974128,0.0051999726920523,0.0002405108281332,1.2574854382242058,0.42800892253609,6.419562832359064,1.88689116967362,,1.0,60059.11803593188,1.3935341769411023e-09,60059.117707424026,3.965364925306858e-09,0.0004997687907265,3.854056515162552e-05,18.46750886968721,1.1649616172542876,-49.27929224406168,2.6573391621861107,599.13330078125,400.20751953125,482.67822265625,1806739.6431980208,1809209.0,0.318359375,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230425C,,,285607454.0,0.0,151.54694233899465,0.2063354128807852,85.97143493739654,0.2502095003067452,,126.00555930690916,30.120545856284384,948.3738586934612,451.255903967887,1016.6361880808312,519.0023137263403,,15.6002569199,391.0299072266,,,,,20.563719767504228,391.2623994932879,0.007378981646287,340.0162261897822,344.4689540843875,0.0009830400013015,0.001798640275369,0.0001540873486909,,,,,Flux/fluence could not be determined due to an unspecified computational failure in the fluence pipeline.,1.0,60059.16677908346,8.168044018930232e-10,60059.166661757714,2.359351825020894e-09,0.0001759733566589,2.267650537086861e-05,5.568591829244368,2.0149232363075407,-21.30625453015928,4.943143369435833,633.55712890625,400.20751953125,456.06689453125,1745937.133429323,1746353.0,0.342041015625,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230425D,,,285617803.0,0.0,192.2504281060777,0.2411268601340304,45.16854355515201,0.2433669490970906,,124.31809664785192,71.95315134484684,98.9048637568814,59.2161844976491,0.0,0.0,,9.5950803757,398.3086547852,,0.4843177804858838,,0.926357887528475,15.130023718147443,398.1584171034065,0.0014312422598266,373.8006140725699,377.7645191648425,0.0019660800026031,8.719270044375093e-05,1.2379366097773304e-06,0.2658400426536926,0.1484647847965753,0.9277909806447846,0.4236920864393396,,1.0,60059.27849333714,3.863220854327665e-11,60059.27837394352,4.3047698738973845e-10,4.168048491349475e-05,1.8672729006439848e-06,24.72697196546765,9.520652215998243,-370.4824490816754,101.9582217149285,447.69287109375,400.20751953125,413.78173828125,1934051.082382288,1934273.0,0.271240234375,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230425E,,,285622513.0,0.0,203.5365771699832,0.2284129379457322,5.248674677664114,0.3161501305908043,,329.7601310050693,65.87071050793637,69.3988409447539,40.60708365542385,0.0,0.0,,11.6289730072,954.7276611328,,1.3908835493215164,,2.314464420877907,17.452096525516033,955.872679719447,0.0140357904519885,929.8094003732108,933.749568680862,0.0019660799953271,0.0,,1.002617355927819,0.3793291833380681,3.028118801580885,0.6759091795711503,,1.0,60059.30877845969,1.2721166342544166e-09,60059.308491827294,4.395843689053436e-09,0.0007588265218481,3.790825017383635e-05,3.931087920722369,1.9650357837489183,-18.34927485056864,5.118316343333465,634.77783203125,400.20751953125,445.44677734375,1666513.4243268643,1666812.0,0.37200927734375,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230425F,,,285622664.0,0.0,213.3370088700732,0.2448037573693196,47.87540895609294,0.2480533703118688,,90.79753631222044,63.82239556551305,99.43562513480909,63.38224384141282,0.0,0.0,,8.5453290939,642.1463623047,,,,,11.714935179014462,641.2708325341993,0.1893069177063845,611.1529164639118,619.0125824841147,0.0117964800156187,0.0175865181571171,0.0044336850312206,,,,,Flux/fluence estimate is invalid due to an unphysical negative value likely caused by errors in baseline subtraction or burst window selection.,1.0,60059.331898800825,1.7735141355501582e-08,60059.3317065064,5.9472190727660745e-08,0.0021580708292036,0.0007282443956754,4.988355836500307,4.471278901758963,-27.623578475143585,13.742505229732606,584.60693359375,400.20751953125,438.00048828125,2009472.7602937515,2009603.0,0.24285888671875,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230425G,,,285622759.0,0.0,219.1650768421286,0.1864756280423263,50.57075725076093,0.1937021234120557,,89.59112122765501,59.19596832255339,118.82054672968542,63.55384716601033,0.0,0.0,,13.2201108932,657.108215332,,0.901347104244907,,1.5756158941418543,14.442629044511651,657.3049949708129,0.0184032443999546,626.0406667501654,633.9684801416114,0.0029491200039046,0.0,,0.9329312099432984,0.3016318034792133,2.350116992805911,0.6440785884439492,,1.0,60059.35331010369,3.374836410330317e-09,60059.353113001176,6.468207303100826e-09,0.000762381530541,6.91851045439915e-05,4.714117750688392,2.197849945484024,-4.087959100987637,2.5088681966477777,800.18310546875,400.20751953125,712.31689453125,1980079.4104662824,1980282.0,0.25390625,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230425H,,,285697215.0,0.0,2.204495796647786,0.2400529661047516,54.22901324132828,0.2414018101947554,,116.66416919852144,-8.123251729309159,128.51594677674262,75.16157064511823,0.0,0.0,,9.2364797592,262.8432617188,,0.9197702116543568,,1.809882689093249,18.531745585558827,262.88162049594894,0.0995465503446425,108.19741566336316,97.16969617215076,0.0108134400943527,0.0108035730577447,0.0013738445125443,0.1994062039323426,0.1109390904355583,1.2687706557134613,0.5246937842009687,,1.0,60059.744309764734,4.075744186593511e-09,60059.74423093584,3.0127941030855254e-08,0.0005025574303853,0.0001805877527362,6.759091995646834,3.85590536657958,-92.65218420101556,23.52063394118155,485.92529296875,400.20751953125,415.05126953125,1804334.574405551,1804671.0,0.22430419921875,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230426A,,,285780986.0,0.0,98.3378051312592,0.0629541840248506,46.625608296522095,0.2225903832348379,,168.48201611209936,16.45491463666575,105.03947836186885,65.6041195952279,0.0,0.0,,9.2905960083,540.6483764648,,0.8711776471724603,,1.5267615959298046,15.403331726054027,541.2291748272102,0.0686890403076884,449.2694309049281,425.28965549519154,0.00393216003431,0.0,,0.3699083803468053,0.1817703528875647,1.1059321301631848,0.3078267650389454,,1.0,60060.01386022466,3.15683834628544e-09,60060.01369792918,2.0836790071143696e-08,0.0015066029887812,0.0001650986982186,11.246106552701283,4.748808840832249,-89.18081679114572,25.30930821785318,500.52490234375,400.20751953125,426.23291015625,1922540.7373717383,1922772.0,0.27557373046875,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230426B,,,285806216.0,0.0,183.74400520089023,0.0380519388939256,-5.491099874043404,0.3478229189984283,,286.45956355468405,56.210082068314726,61.23693721292097,34.10192244524267,0.0,0.0,,12.4236497879,357.8712158203,,1.490444349979961,,2.602306535951553,12.224202292696235,358.5425376110891,0.0311783715965913,324.4259636579311,331.7970492802503,0.0029491199820768,0.0,,1.2069382054563031,0.5920359233705993,2.559470801327441,0.949216579093795,,1.0,60060.24956369673,3.374836410330317e-09,60060.24945618251,9.939626011146174e-09,0.0009139859168357,0.000119389973569,4.352386794736329,2.9020580444611,-18.694413561939744,7.303016021090429,638.61083984375,400.20751953125,449.59716796875,1554564.5688783072,1554708.0,0.41424560546875,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230426C,,,285822155.0,0.0,273.19938479485813,0.2121991722746283,62.210043211597295,0.2146628690637051,,91.48739857136914,28.23051430436816,161.68827699199937,92.60197206995768,0.0,0.0,,12.6222963333,1129.4173583984,,1.0356971623675577,,1.815072895919292,13.186815128837823,1130.5426599327243,0.0119990420708431,1080.201973500067,1085.4393284017517,0.0019660799880512,0.0,,0.6804137238878647,0.2803570405583411,1.8185547924210808,0.4821856888317068,,1.0,60060.49390515326,1.705355856529422e-09,60060.49356614352,3.9819223474069085e-09,0.0007773603084499,6.968708601941285e-05,1.374395694107341,1.6163595293425717,-3.680331728612845,2.350813096828366,800.18310546875,400.20751953125,482.36083984375,2050422.107906758,2050590.0,0.2274169921875,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230426D,,FRB20210409B,285831667.0,0.0,287.7361451694534,0.1956206518199178,74.91787856493205,0.2091008081137033,,106.32729114867972,24.871857362583427,291.4463938233799,168.76649643640778,234.10574453086485,121.2883188611242,,18.1575622559,686.6275024414,2.774072612145339,0.4599909615682409,8.358157061224087,1.4196161154249856,37.16109249129318,686.1193122038351,0.0619125516156993,628.6547124595984,631.1573228270216,0.0393215997610241,0.0226183510215056,0.0014042346391735,0.9653211309607536,0.3727350321812523,14.405732590504542,4.755733619140772,,1.0,60060.54482912592,7.927969392085288e-09,60060.544623383015,2.018831324335224e-08,0.0005878000875826,0.0001159396028374,69.25689381944194,5.0076745910517895,-134.17822158017475,9.07699855914834,590.51513671875,454.43115234375,518.02978515625,1888025.053204853,1889399.0,0.28814697265625,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230426E,,,285852779.0,0.0,326.1114065072587,0.2263047625968265,35.11873554813065,0.2460835932447196,,85.11395194261685,-13.680037322743766,89.50644855917808,55.312283656548125,0.0,0.0,,9.4617509842,760.6279907227,,1.2471517544767978,,2.2864290832004865,11.912892972205157,761.6006734703747,0.0270033340222172,663.3967080205697,679.0077648485243,0.0039321599761024,0.0,,0.5694832084897767,0.2363632799246104,1.435427372330219,0.5361969698344233,,1.0,60060.64329401374,5.0250026362164135e-09,60060.64306563665,9.531223810199664e-09,0.0005922486231578,6.181410120908654e-05,9.814126590095784,4.0196136990602245,-10.246434219628222,4.424483778849293,800.18310546875,402.16064453125,646.03271484375,1926524.0829810337,1926660.0,0.27410888671875,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230426F,,,285854764.0,0.0,327.57417297539894,0.1690896593732653,55.77157324887173,0.1551392241701954,,99.3636505792954,1.4204284253714674,158.94718733522365,69.22559401952292,0.0,0.0,,25.7519626617,1359.1019287109,,1.4320328711748025,,2.3686214297946617,39.46802520023326,1360.0036248708827,0.0279484199938831,1068.7713470512958,933.081941393132,0.0078643199522048,0.0111791248131658,0.0006382402307954,0.7272395098236082,0.2139396652019154,4.640240694785173,0.9955040087230612,,1.0,60060.65657885078,3.0602578249272483e-09,60060.65617103381,8.921379190951484e-09,0.000625925210803,7.525519058249482e-05,27.186014247899102,2.164215413639709,-68.90922365026509,4.991703339578824,585.21728515625,406.04248046875,487.46337890625,2001086.274986794,2002637.0,0.2454833984375,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
FRB20230427A,,,286055230.0,0.0,301.33046110822465,0.1410889803451408,82.17688258370042,0.0442058566777774,,114.78088040452565,24.416052326987405,520.6685571613115,237.3018348968836,327.66749897965195,307.8272426881015,,46.3766136169,721.8080444336,,,,,62.63486527266249,722.8788212909624,0.0020224191101844,663.6973100029936,664.9249252070935,0.0029491199820768,0.0021573190528945,6.630254594867103e-05,,,,,Flux/fluence could not be determined due to an unspecified computational failure in the fluence pipeline.,1.0,60061.57095434815,2.7042901251661533e-10,60061.57073758237,6.650324735346658e-10,0.0002434478114329,9.970814360889611e-06,-0.377606113269976,0.3796260919228102,-6.485714654313741,0.7610675255518126,705.82275390625,400.20751953125,400.20751953125,1794276.8736522754,1798193.0,0.322509765625,,0.0,0.0,0.0,0.0,0.0,0.0,,photo,,0.1
